commerce;jour de fermeture;adresse;code postal;ville;coord_geo
Tabac - Presse;dimanche;129 BD MASSÉNA;75013;PARIS;48.819006,2.361842
Tabac Le Village;lundi;3 R. PAUL-FRANÇOIS AVET;94000;CRÉTEIL;48.792469,2.463671
Le Rallye;dimanche;64 R. DE TOLBIAC;75013;PARIS;48.827397,2.368612
Tabac - Presse;dimanche;8  BD MONTAIGUT;94000;CRÉTEIL;48.791098,2.445051
Le Rond Point;dimanche;32 R.VERGNIAUD;75013;PARIS;48.828064,2.345543
Le Diplomate;mardi;103 R. DU GÉN LECLERC;94000;CRÉTEIL;48.789604,2.46622
Le Naguère;dimanche;66 R. DAGUERRE;75014;PARIS;48.835243,2.326303
Le Brazza;dimanche;186 GRANDE RUE CHARLES DE GAULLE;94130;NOGENT-SUR-MARNE;48.838207,2.493044
Tabac de la Mairie;dimanche;165 AV. DU MAINE;75014;PARIS;48.832924,2.32505
Le Centre Ville;dimanche;25 PL. SALVADOR ALLENDE;94140;ALFORTVILLE;48.80526,2.415105
Le Flash;dimanche;47 R. BOULARD;75014;PARIS;48.832138,2.327646
Le Bergerac;mercredi;108 R. ETIENNE DOLET;94140;ALFORTVILLE;48.790207,2.42575
La Civette 14;dimanche;141 R. RAYMOND LOSSERAND;75014;PARIS;48.831477,2.313695
Tabac de l‘avenue;0;48 BOULEVARD DE LA LIBERTÉ;94170;LE PERREUX-SUR-MARNE;48.835513,2.497595
Le Brezin;dimanche;6 R. BREZIN;75014;PARIS;48.83104,2.32875
Tabac du Parc;dimanche;48 AVENUE LEDRU ROLLIN;94170;LE PERREUX-SUR-MARNE;48.841036,2.498192
